Note Extraction from 1674.mid
----------------------------------------

--- Track 0:  ---

--- Track 1: FLUTE ---
Time: 324864, Note: 90, Velocity: 123
Time: 327936, Note: 84, Velocity: 123
Time: 327936, Note: 90, Velocity: 123
Time: 329472, Note: 79, Velocity: 123
Time: 329472, Note: 91, Velocity: 123
Time: 336384, Note: 79, Velocity: 91
Time: 336384, Note: 79, Velocity: 91
Time: 336768, Note: 84, Velocity: 91
Time: 336768, Note: 84, Velocity: 91
Time: 337152, Note: 83, Velocity: 91
Time: 337152, Note: 83, Velocity: 91
Time: 337536, Note: 84, Velocity: 91
Time: 337536, Note: 84, Velocity: 91
Time: 337920, Note: 86, Velocity: 91
Time: 337920, Note: 86, Velocity: 91
Time: 338304, Note: 81, Velocity: 91
Time: 338304, Note: 81, Velocity: 91
Time: 338688, Note: 81, Velocity: 91
Time: 338688, Note: 81, Velocity: 91
Time: 339072, Note: 79, Velocity: 91
Time: 339072, Note: 79, Velocity: 91
Time: 342528, Note: 79, Velocity: 91
Time: 342528, Note: 79, Velocity: 91
Time: 342912, Note: 84, Velocity: 91
Time: 342912, Note: 84, Velocity: 91
Time: 343296, Note: 83, Velocity: 91
Time: 343296, Note: 83, Velocity: 91
Time: 343680, Note: 84, Velocity: 91
Time: 343680, Note: 84, Velocity: 91
Time: 344064, Note: 86, Velocity: 91
Time: 344064, Note: 86, Velocity: 91
Time: 344448, Note: 81, Velocity: 91
Time: 344448, Note: 81, Velocity: 91
Time: 344832, Note: 81, Velocity: 91
Time: 344832, Note: 81, Velocity: 91
Time: 345216, Note: 79, Velocity: 91
Time: 345216, Note: 79, Velocity: 91
Time: 347136, Note: 82, Velocity: 91
Time: 347136, Note: 82, Velocity: 91
Time: 347520, Note: 84, Velocity: 91
Time: 347520, Note: 84, Velocity: 91
Time: 347904, Note: 82, Velocity: 91
Time: 347904, Note: 82, Velocity: 91
Time: 348288, Note: 81, Velocity: 91
Time: 348288, Note: 81, Velocity: 91
Time: 350208, Note: 84, Velocity: 91
Time: 350208, Note: 84, Velocity: 91
Time: 350592, Note: 86, Velocity: 91
Time: 350592, Note: 86, Velocity: 91
Time: 350976, Note: 84, Velocity: 91
Time: 350976, Note: 84, Velocity: 91
Time: 351360, Note: 83, Velocity: 91
Time: 351360, Note: 83, Velocity: 91
Time: 357120, Note: 92, Velocity: 91
Time: 357120, Note: 92, Velocity: 91
Time: 357504, Note: 91, Velocity: 91
Time: 357504, Note: 91, Velocity: 91
Time: 357888, Note: 90, Velocity: 91
Time: 357888, Note: 90, Velocity: 91
Time: 358272, Note: 91, Velocity: 91
Time: 358272, Note: 91, Velocity: 91
Time: 358656, Note: 93, Velocity: 101
Time: 358656, Note: 93, Velocity: 101
Time: 359040, Note: 91, Velocity: 101
Time: 359040, Note: 91, Velocity: 101
Time: 359424, Note: 90, Velocity: 101
